"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"1860","62","1529","70","0","13","1293","75","236","40","331","36","0500000US02188","Northwest Arctic Borough, Alaska"
"1170","102","1061","89","2","3","914","90","145","46","109","32","0500000US02195","Petersburg Borough, Alaska"
"2356","80","2015","81","3","4","1571","77","441","56","341","53","0500000US02198","Prince of Wales-Hyder Census Area, Alaska"
"3561","119","3293","125","14","14","2948","128","331","79","268","60","0500000US02220","Sitka City and Borough, Alaska"
"400","54","385","53","0","9","342","48","43","13","15","7","0500000US02230","Skagway Municipality, Alaska"
"2163","121","1938","122","11","13","1551","129","376","74","225","54","0500000US02240","Southeast Fairbanks Census Area, Alaska"
"3093","160","2824","170","4","5","2416","207","404","134","269","97","0500000US02261","Valdez-Cordova Census Area, Alaska"
"1074","78","888","79","4","4","770","73","114","49","186","51","0500000US02275","Wrangell City and Borough, Alaska"
"232","27","210","27","3","4","161","23","46","10","22","9","0500000US02282","Yakutat City and Borough, Alaska"
"1906","77","1267","79","4","4","827","64","436","46","639","37","0500000US02290","Yukon-Koyukuk Census Area, Alaska"
"20395","382","11220","401","184","58","7547","396","3489","259","9175","327","0500000US04001","Apache County, Arizona"
"49250","846","42728","931","204","69","38301","875","4223","472","6522","497","0500000US04003","Cochise County, Arizona"
"47276","885","42098","918","195","69","36335","939","5568","421","5178","369","0500000US04005","Coconino County, Arizona"
"21708","490","17469","512","133","78","13093","538","4243","354","4239","383","0500000US04007","Gila County, Arizona"
"10782","355","9363","354","17","22","7713","342","1633","251","1419","222","0500000US04009","Graham County, Arizona"
"3225","179","2882","187","9","14","2452","209","421","123","343","96","0500000US04011","Greenlee County, Arizona"
"8912","484","6815","485","31","19","5388","462","1396","314","2097","317","0500000US04012","La Paz County, Arizona"
"1520767","4569","1391290","5285","5409","419","1270545","5787","115336","2405","129477","2732","0500000US04013","Maricopa County, Arizona"
"85485","1076","73527","1170","553","161","66344","1227","6630","493","11958","824","0500000US04015","Mohave County, Arizona"
"34407","590","25746","546","136","52","20499","566","5111","377","8661","418","0500000US04017","Navajo County, Arizona"
"400907","1798","364714","2225","1803","277","331375","2145","31536","1235","36193","1287","0500000US04019","Pima County, Arizona"
"137286","1532","121980","1641","478","149","109436","1650","12066","779","15306","887","0500000US04021","Pinal County, Arizona"
"15430","327","12538","460","77","49","10543","502","1918","302","2892","315","0500000US04023","Santa Cruz County, Arizona"
"96007","1096","86137","1137","565","162","76499","1270","9073","746","9870","666","0500000US04025","Yavapai County, Arizona"
"72463","860","60556","912","296","108","54767","940","5493","501","11907","613","0500000US04027","Yuma County, Arizona"
"7682","248","6067","254","20","19","4760","253","1287","220","1615","194","0500000US05001","Arkansas County, Arkansas"
"7915","332","6003","363","22","19","4704","339","1277","275","1912","256","0500000US05003","Ashley County, Arkansas"
"18370","397","15352","462","255","98","12925","515","2172","323","3018","353","0500000US05005","Baxter County, Arkansas"
